"BCP-07,Backup & Recovery,Recovery point objective,""Define acceptable data loss thresholds."",Business Continuity/DR,Annual,RPO definitions,Confirm RPO is defined and aligned to business needs.,Excessive data loss tolerance"
"BCP-08,Backup & Recovery,Recovery time objective,""Define acceptable downtime thresholds."",Business Continuity/DR,Annual,RTO definitions,Verify RTO is documented and tested.,Excessive outage duration"
"BCP-09,Backup & Recovery,Backup job monitoring,""Alert on failed or incomplete backups."",Infrastructure/DR,Daily,Backup monitoring alerts,Check failed jobs are investigated and retried.,Silent backup failures"
"BCP-10,Backup & Recovery,Disaster recovery validation,""Test DR plans for critical services."",DR/Infrastructure,Annual,DR exercise reports,Verify DR exercises occurred and gaps were remediated.,Unproven disaster readiness"
"IR-01,Incident Response,Incident response plan,""Maintain a documented response process."",Security Operations,Annual,IR plan document,Verify the plan is current and approved.,Uncoordinated response"
"IR-02,Incident Response,Incident classification,""Categorize incidents by severity and type."",Security Operations,Continuous,Incident taxonomy,Check incidents are classified consistently.,Improper prioritization"
"IR-03,Incident Response,Response team roles,""Assign roles for containment, analysis, and communications."",Security Leadership,Annual,RACI or IR roster,Confirm roles are assigned and understood.,Confusion during incidents"
"IR-04,Incident Response,Escalation procedures,""Escalate major incidents quickly."",Security Operations,Continuous,Escalation matrix,Test whether severe incidents trigger escalation as defined.,Delayed leadership awareness"
"IR-05,Incident Response,Evidence preservation,""Preserve forensic evidence properly."",Security Operations/Legal,Per Incident,Chain-of-custody records,Verify evidence handling procedures are followed.,Loss of admissible evidence"
"IR-06,Incident Response,Tabletop exercises,""Test incident response readiness."",Security Leadership,Annual,Tabletop exercise records,Confirm exercises occur and action items are tracked.,Unpracticed response team"
"IR-07,Incident Response,Breach notification workflow,""Define legal and stakeholder notification steps."",Legal/Security/Comms,Annual,Notification workflow,Review timing and approval requirements for notifications.,Late or improper disclosure"
"IR-08,Incident Response,Root cause analysis,""Determine cause and preventive actions."",Security Operations/IT,Per Incident,Post-incident RCA,Check RCAs identify cause and remediation owners.,Recurring incidents"
"IR-09,Incident Response,Lessons learned review,""Capture improvements after incidents."",Security Operations,Per Incident,Lessons learned meeting notes,Verify actions are recorded and tracked.,Repeated mistakes"
"IR-10,Incident Response,Incident tracking and closure,""Record response actions and formal closure."",Security Operations,Continuous,Incident case records,Sample closed incidents and confirm closure criteria met.,Incomplete incident records"
"Control ID,Domain,Control Name,Control Description,Control Owner,Frequency,Evidence,Test Steps,Risk Addressed"
"CFG-01,Secure Configuration,Secure baseline standards,""Maintain approved secure configurations."",Security/Infrastructure,Annual/On Change,Baseline standards document,Verify baselines are approved and mapped to systems.,Inconsistent and insecure settings"
"CFG-02,Secure Configuration,Configuration drift monitoring,""Detect unauthorized configuration changes."",Security/Infrastructure,Continuous,Drift reports and alerts,Check drift is detected and investigated.,Unauthorized changes"
"CFG-03,Secure Configuration,Default account removal,""Disable or secure default accounts."",Infrastructure/Platform Owners,Per Build,Build validation checklist,Confirm default accounts are disabled or renamed where possible.,Easy attacker entry"
"CFG-04,Secure Configuration,Unused service disablement,""Remove unnecessary services and ports."",Infrastructure/Platform Owners,Per Build/Monthly,Hardening checklist,Review running services and exposed ports against approved list.,Expanded attack surface"
"CFG-05,Secure Configuration,Configuration approval process,""Approve baseline deviations before change."",Change Management/Security,Per Change,Deviation approvals,Check deviations have documented approval and expiry.,Uncontrolled exceptions"
"CFG-06,Secure Configuration,Template-based deployment,""Use hardened templates for consistency."",Infrastructure/Cloud Ops,Per Build,Golden image/template records,Verify servers/endpoints are built from approved templates.,Security drift and inconsistent builds"
"CFG-07,Secure Configuration,Benchmark alignment,""Align settings to recognized benchmarks."",Security/Infrastructure,Annual,Benchmark mapping,Compare settings to CIS/Microsoft/other benchmarks.,Weak baseline controls"
"CFG-08,Secure Configuration,Registry and policy control,""Manage settings centrally where possible."",Endpoint/Server Ops,Continuous,GPO/MDM policy settings,Validate central policy governs security settings.,Local tampering"
"CFG-09,Secure Configuration,Hardened browser and client config,""Secure end-user application settings."",Endpoint/Security,Continuous,Browser policy config,Check browser hardening and plugin restrictions.,Web-based compromise"
"CFG-10,Secure Configuration,Baseline exception review,""Review exceptions to hardened settings."",Security/Infrastructure,Quarterly,Exception register,Confirm deviations are reviewed and either retired or reapproved.,Permanent weakening of standards"
"ENC-01,Encryption,Data-at-rest encryption,""Encrypt sensitive data at rest."",Security/Data Owners,Continuous,Encryption config and key escrow,Verify encryption is enabled for sensitive stores.,Data exposure from stolen media"
"ENC-02,Encryption,Data-in-transit encryption,""Use TLS or equivalent for transmission."",Infrastructure/App Owners,Continuous,TLS configs and certificate records,Check only approved secure protocols/ciphers are in use.,Traffic interception"
"ENC-03,Encryption,Key management standard,""Protect and govern cryptographic keys."",Security/IAM/Platform Ops,Continuous,KMS policy and access logs,Review key access, rotation, and separation of duties.,Key compromise"
"ENC-04,Encryption,Certificate lifecycle management,""Track issuance, renewal, and expiration."",Infrastructure/App Owners,Continuous,Certificate inventory,Check expiring certificates are tracked and renewed on time.,Service outage or weak trust"
"ENC-05,Encryption,Secret storage control,""Store secrets in approved vaults."",Security/Platform Owners,Continuous,Secret vault records,Verify secrets are not stored in code or flat files.,Credential leakage"
"ENC-06,Encryption,Encryption algorithm standard,""Use approved modern cryptographic algorithms."",Security/Architecture,Annual,Crypto standard document,Confirm deprecated algorithms are prohibited.,Weak cryptographic protection"
"ENC-07,Encryption,Key rotation,""Rotate keys and secrets periodically."",Security/IAM/Platform Ops,Per Policy,Rotation logs,Review rotation intervals and evidence of completion.,Long-lived exposed secrets"
"ENC-08,Encryption,Certificate trust validation,""Validate trusted roots and server certificates."",Infrastructure/Security,Continuous,Trust store policy,Test validation of server certs and trusted roots.,Man-in-the-middle risk"
"ENC-09,Encryption,Backup encryption,""Encrypt backups and recovery media."",Infrastructure/DR,Continuous,Backup settings,Verify backup encryption is enabled and access is restricted.,Backup data exposure"
"ENC-10,Encryption,Crypto exception review,""Review any waived encryption requirements."",Security/GRC,Quarterly,Exception register,Validate exceptions are justified, approved, and time-bound.,Unapproved plaintext exposure"
"VRM-01,Vendor Risk,Vendor due diligence,""Assess vendors before onboarding."",Procurement/Vendor Risk,Per Onboarding,Vendor assessment results,Confirm due diligence is completed before contract start.,Third-party security exposure"
"VRM-02,Vendor Risk,Contract security clauses,""Include security obligations in contracts."",Legal/Procurement,Per Contract,Contract templates and executed agreements,Check security clauses are present for data handling and incidents.,Weak contractual protection"
"VRM-03,Vendor Risk,Vendor access restriction,""Limit vendor access to required scope."",IAM/Business Owner,Continuous,Vendor access list,Verify vendor accounts are approved and least privilege.,Overexposed third-party access"
"VRM-04,Vendor Risk,Vendor review cycle,""Reassess vendors periodically."",Vendor Risk/Procurement,Annual,Review schedule and records,Confirm reviews are current for critical suppliers.,Stale vendor risk understanding"
"VRM-05,Vendor Risk,Data processing review,""Understand what data vendors store or process."",Data Owners/Legal,Per Onboarding,Data processing assessment,Check data categories and transfer locations are documented.,Uncontrolled sensitive data sharing"
"VRM-06,Vendor Risk,Security questionnaire management,""Track questionnaire completion and gaps."",Vendor Risk,Per Onboarding/Annual,Questionnaire records,Verify questionnaires are reviewed and remediation tracked.,Incomplete vendor assessment"
"VRM-07,Vendor Risk,Incident notification requirement,""Require timely vendor breach reporting."",Legal/Procurement,Per Contract,Contract clause review,Confirm notification obligations and timelines are explicit.,Delayed breach awareness"
"VRM-08,Vendor Risk,Subprocessor oversight,""Assess vendor subcontractors where relevant."",Vendor Risk/Legal,Annual,Subprocessor list,Validate subprocessors are identified for critical vendors.,Hidden third-party exposure"
"VRM-09,Vendor Risk,Offboarding of vendors,""Remove vendor access and recover assets."",IAM/IT Operations,Per Termination,Offboarding records,Verify accounts, tokens, and assets are removed.,Lingering third-party access"
"VRM-10,Vendor Risk,Third-party risk acceptance,""Approve residual third-party risk formally."",Risk Management/Leadership,Per Risk,Accepted risk record,Check formal risk acceptance exists for unresolved issues.,Unapproved supplier risk"
"CHG-01,Change Management,Change request tracking,""Log all production changes."",Change Management/IT Ops,Per Change,Change tickets,Confirm changes are recorded before implementation.,Untracked production changes"
"CHG-02,Change Management,Change approval workflow,""Obtain authorization before implementation."",Change Management,Per Change,Approval records,Sample changes and verify approval precedes execution.,Unauthorized changes"
"CHG-03,Change Management,Impact assessment,""Evaluate technical and business impact."",Change Owner/App Owner,Per Change,Impact assessment sections,Check material changes include impact analysis.,Unexpected service disruption"
"CHG-04,Change Management,Emergency change process,""Handle urgent changes with later review."",Change Management/Security,Per Event,Emergency change records,Verify emergency changes are documented and retrospectively approved.,Uncontrolled urgent changes"
"CHG-05,Change Management,Change testing requirement,""Test changes before production release."",Change Owner/QA,Per Change,Test results,Confirm testing evidence exists for significant changes.,Defective deployments"
"CHG-06,Change Management,Backout plan,""Define rollback steps for failed changes."",Change Owner/IT Ops,Per Change,Backout plan in ticket,Verify rollback plans are documented for production changes.,Extended outage after failed change"
"CHG-07,Change Management,Change communication,""Notify stakeholders about planned changes."",Change Management,Per Change,Communication records,Check affected teams received notice in advance.,Surprise service impact"
"CHG-08,Change Management,Post-change validation,""Verify service health after change."",Change Owner/Operations,Per Change,Post-change validation notes,Sample completed changes and confirm validation was performed.,Undetected change failures"
"CHG-09,Change Management,Change calendar management,""Coordinate change windows to reduce conflict."",Change Management/IT Ops,Continuous,Change calendar,Verify changes are scheduled to avoid overlapping risk.,Change collisions"
"CHG-10,Change Management,Change failure review,""Analyze failed changes for lessons learned."",Change Management/IT Ops,Per Failure,Failure review records,Confirm causes and corrective actions are documented.,Repeated implementation failures"
"CMP-01,Compliance & Audit,Regulatory obligation register,""Maintain applicable compliance requirements."",GRC/Compliance,Annual,Obligation register,Verify requirements are mapped to controls and owners.,Missed compliance obligations"
"CMP-02,Compliance & Audit,Audit evidence management,""Collect and store evidence centrally."",GRC/Control Owners,Continuous,Evidence repository,Check evidence is organized, current, and accessible.,Incomplete audit support"
"CMP-03,Compliance & Audit,Control testing schedule,""Test controls on a recurring basis."",GRC/Internal Audit,Annual/Quarterly,Testing calendar,Verify tests occur on schedule and results are documented.,Unknown control failure"
"CMP-04,Compliance & Audit,Internal audit support,""Support internal audits and remediation."",GRC/Control Owners,Per Audit,Audit responses and remediation tracker,Confirm findings are responded to within expected timelines.,Delayed remediation"
"CMP-05,Compliance & Audit,External audit coordination,""Manage evidence requests and responses."",GRC/Control Owners,Per Audit,Audit PBC tracker,Validate evidence is complete and timely.,Audit delays or findings"
"CMP-06,Compliance & Audit,Policy attestation,""Obtain formal attestation where required."",GRC/HR/Management,Annual,Attestation records,Check required personnel attest to policies annually.,Unconfirmed policy awareness"
"CMP-07,Compliance & Audit,Finding remediation tracking,""Track audit findings to closure."",GRC/Control Owners,Continuous,Audit issue tracker,Review aging findings and closure evidence.,Persistent audit issues"
"CMP-08,Compliance & Audit,Compliance exception review,""Review and approve exceptions formally."",GRC/Risk Management,Quarterly,Exception log,Confirm exceptions have justification and expiry.,Uncontrolled compliance gaps"
"CMP-09,Compliance & Audit,Certification maintenance,""Maintain certifications and assessment readiness."",GRC/Security,Annual,Certification evidence,Verify certification artifacts and renewal tasks are current.,Loss of certification status"
"CMP-10,Compliance & Audit,Record retention control,""Retain records per legal and policy requirements."",Records Management/GRC,Annual,Retention schedule,Check retention aligns to policy and deletion is controlled.,Premature or excessive retention"
"DPK-01,Data Protection,Data classification,""Classify data by sensitivity and handling needs."",Data Owners/GRC,Annual,Classification standard and sample records,Verify data sets carry approved classification labels.,Improper handling of sensitive data"
"DPK-02,Data Protection,Data access restriction,""Limit data access to authorized users."",Data Owners/IAM,Continuous,Access lists and permissions,Sample sensitive data stores and confirm least privilege.,Unauthorized data exposure"
"DPK-03,Data Protection,Data loss prevention,""Prevent unauthorized data exfiltration."",Security/Data Owners,Continuous,DLP policies and incidents,Validate DLP rules are active and incidents are reviewed.,Sensitive data leakage"
"DPK-04,Data Protection,Sensitive data discovery,""Identify sensitive data stores and flows."",Data Protection/Security,Continuous,Discovery scan results,Verify sensitive repositories are identified and tracked.,Unknown sensitive data locations"
"DPK-05,Data Protection,Data retention and disposal,""Keep data only as long as required."",Records Management/Data Owners,Annual,Retention schedule and disposal logs,Confirm retention rules exist and deletions are performed appropriately.,Over-retention or stale data"
"DPK-06,Data Protection,Data masking or redaction,""Mask sensitive data where appropriate."",App Owners/Data Owners,Per System,Masking configuration or screenshots,Check test/non-prod data is masked and reports redact sensitive fields.,Exposure in non-production or reports"
"DPK-07,Data Protection,Secure file sharing,""Control internal and external sharing."",M365/Data Owners,Continuous,Sharing policies and sharing logs,Review external links, guest shares, and expiration controls.,Data leakage through shared files"
"DPK-08,Data Protection,Privacy review,""Review processing of personal data."",Privacy/GRC/Legal,Per Project,Privacy impact assessments,Validate projects with personal data have privacy review.,Privacy non-compliance"
"DPK-09,Data Protection,Data owner assignment,""Assign ownership for sensitive datasets."",Data Governance,Annual,Data ownership register,Sample datasets and confirm owners are assigned.,No accountability for data sets"
"DPK-10,Data Protection,Data backup protection,""Protect backups that contain sensitive data."",Infrastructure/DR,Continuous,Backup encryption/access logs,Verify backup access is limited and encrypted.,Sensitive backup exposure"


"Control ID,Domain,Control Name,Control Description,Control Type,Testing Methodology,Control Owner,Frequency,Evidence,Test Steps,Risk Addressed"
"GOV-01,Governance,Security governance charter,""Define security oversight, responsibilities, and decision rights."",Preventive,Both,CISO/Head of Security,Annual,Approved governance charter,Verify charter exists, is approved, and references decision-making authority.,Lack of security accountability"
"GOV-02,Governance,Security policy framework,""Maintain approved security policies, standards, and procedures."",Preventive,Both,Security Governance,Annual/On Change,Policy register and approved policy documents,Check policy inventory, approvals, and review dates.,Inconsistent security practices"
"GOV-03,Governance,Security roles and responsibilities,""Assign accountability for control ownership and execution."",Preventive,Both,Security Governance,Annual,Role matrix or RACI,Sample key controls and verify named owners are assigned.,Gaps in ownership"
"GOV-04,Governance,Control exception management,""Track, approve, and review exceptions to security controls."",Corrective,Operating Effectiveness,Risk/Compliance,Continuous,Exception log and approvals,Verify exceptions are time-bound, approved, and reviewed.,Uncontrolled control bypass"
"GOV-05,Governance,Security committee review,""Review risk, incidents, and security metrics on a recurring basis."",Detective,Operating Effectiveness,Security Steering Committee,Monthly,Meeting minutes and action tracker,Confirm meetings occur and actions are tracked to closure.,Lack of leadership oversight"
"GOV-06,Governance,Security KPI/KRI reporting,""Measure and report control effectiveness and risk trends."",Detective,Operating Effectiveness,Security Governance,Monthly,Security dashboard or metrics pack,Validate metrics are produced, reviewed, and acted upon.,Unknown control weakness trends"
"GOV-07,Governance,Control lifecycle management,""Review, update, and retire controls as business and technology change."",Preventive,Both,Security Governance,Annual,Control review records,Check that controls are periodically reviewed and updated.,Outdated controls"
"GOV-08,Governance,Security awareness governance,""Define awareness program scope, frequency, and accountability."",Preventive,Both,Security Awareness Lead,Annual,Awareness program plan,Verify program exists and is approved.,User susceptibility to threats"
"GOV-09,Governance,Security budget and resourcing,""Ensure security controls are funded and staffed."",Preventive,Both,Security Leadership,Annual,Approved budget and staffing plan,Confirm budget/resources align to security needs.,Under-resourced security program"
"GOV-10,Governance,Security documentation management,""Keep security documents version-controlled and current."",Preventive,Operating Effectiveness,Security Governance,Continuous,Document repository and version history,Sample documents for versioning and review dates.,Use of stale guidance"
"RSK-01,Risk Management,Enterprise risk register,""Maintain a centralized inventory of security risks."",Detective,Operating Effectiveness,Risk Management,Continuous,Risk register,Verify risks are recorded with owners, ratings, and dates.,Untracked enterprise risks"
"RSK-02,Risk Management,Risk assessment methodology,""Use a standard method to evaluate likelihood and impact."",Preventive,Both,Risk Management,Annual,Approved methodology document,Check the assessment method is documented and consistently used.,Inconsistent risk decisions"
"RSK-03,Risk Management,Risk acceptance approval,""Require formal approval for accepted risks."",Corrective,Operating Effectiveness,Risk Owner/Senior Management,Per Risk,Accepted risk records,Confirm sign-off exists and expiration/review dates are defined.,Informal risk acceptance"
"RSK-04,Risk Management,Risk treatment tracking,""Track remediation, transfer, avoidance, or acceptance."",Corrective,Operating Effectiveness,Risk Management,Continuous,Treatment plan tracker,Review open risks and confirm action plans are in place.,Stagnant risk remediation"
"RSK-05,Risk Management,Periodic risk review,""Reassess risks on a defined schedule or after major change."",Detective,Operating Effectiveness,Risk Management,Quarterly,Risk review minutes,Verify reviews occur and changes are reflected.,Outdated risk posture"
"RSK-06,Risk Management,Third-party risk review,""Assess vendor security posture before onboarding and renewal."",Preventive,Both,Vendor Risk/Procurement,Per Vendor Onboarding/Annual,Vendor assessment results,Check completed assessments and remediation follow-up.,Vendor-related security exposure"
"RSK-07,Risk Management,Threat-informed risk evaluation,""Incorporate current threats into risk decisions."",Detective,Operating Effectiveness,Risk Management,Quarterly,Threat intel or risk review notes,Confirm recent threats influence risk prioritization.,Ignoring active threats"
"RSK-08,Risk Management,Control gap analysis,""Identify missing controls against a baseline or framework."",Detective,Both,Security Governance,Annual,Gap assessment report,Verify gaps are documented with remediation plans.,Unknown control deficiencies"
"RSK-09,Risk Management,Residual risk reporting,""Report remaining risk after mitigation actions."",Detective,Operating Effectiveness,Risk Management,Quarterly,Risk reporting pack,Ensure residual risk is visible to leadership.,Hidden unacceptable risk"
"RSK-10,Risk Management,Risk escalation process,""Escalate high-risk items to leadership in a timely manner."",Corrective,Operating Effectiveness,Risk Management,Continuous,Escalation workflow,Test whether high risks are escalated within defined timelines.,Delayed decision-making"
"ASM-01,Asset Management,Hardware inventory,""Maintain a complete inventory of hardware assets."",Detective,Operating Effectiveness,IT Asset Management,Continuous,Asset inventory report,Reconcile discovered hardware against inventory.,Unknown assets"
"ASM-02,Asset Management,Software inventory,""Maintain a complete inventory of approved software."",Detective,Operating Effectiveness,IT Asset Management,Continuous,Software inventory report,Compare installed software to approved list.,Unauthorized software use"
"ASM-03,Asset Management,Cloud asset inventory,""Track cloud resources, subscriptions, and services."",Detective,Operating Effectiveness,Cloud Operations,Continuous,Cloud inventory/export,Validate inventory includes active resources and owners.,Untracked cloud exposure"
"ASM-04,Asset Management,Asset ownership assignment,""Assign a business owner for each asset."",Preventive,Both,IT Asset Management,Continuous,Asset register,Sample assets and verify owner is assigned.,No accountability for assets"
"ASM-05,Asset Management,Asset classification,""Classify assets by business criticality and sensitivity."",Preventive,Both,Data/Asset Owners,Annual,Classification labels or records,Check classification is present and current.,Inappropriate protection levels"
"ASM-06,Asset Management,Asset lifecycle management,""Track assets from request to retirement."",Preventive,Both,IT Asset Management,Continuous,Lifecycle records,Sample assets across lifecycle stages and verify records.,Lost or orphaned assets"
"ASM-07,Asset Management,Unauthorized asset detection,""Identify and remediate rogue or unapproved assets."",Detective,Operating Effectiveness,Security Operations,Continuous,Discovery alerts and remediation log,Confirm rogue assets are investigated and removed.,Unknown unmanaged systems"
"ASM-08,Asset Management,Asset tagging standard,""Apply consistent tags for ownership, environment, and criticality."",Preventive,Both,Cloud/IT Operations,Continuous,Tag compliance reports,Sample assets to confirm required tags are applied.,Poor traceability"
"ASM-09,Asset Management,Inventory reconciliation,""Reconcile inventory against discovery tools and records."",Detective,Operating Effectiveness,IT Asset Management,Monthly,Reconciliation evidence,Validate mismatches are investigated and corrected.,Incomplete inventory accuracy"
"ASM-10,Asset Management,Asset disposal control,""Securely sanitize or dispose of assets at end of life."",Corrective,Operating Effectiveness,IT Operations,Per Disposal Event,Disposal certificates,Verify sanitization or destruction evidence exists.,Data leakage from retired assets"
"IAM-01,Identity & Access,Unique user identities,""Ensure every user has a unique account for accountability."",Preventive,Both,IAM/Directory Services,Continuous,Directory user list,Sample users and confirm each has a unique account.,Weak accountability"
"IAM-02,Identity & Access,Account provisioning workflow,""Provision accounts through approved onboarding."",Preventive,Both,IAM/HR/IT Service Desk,Per Request,Provisioning tickets and approvals,Verify accounts are created only after approval and role validation.,Unauthorized access creation"
"IAM-03,Identity & Access,Account deprovisioning workflow,""Disable access promptly on termination or transfer."",Corrective,Operating Effectiveness,IAM/HR/IT Service Desk,Per Termination/Transfer,Offboarding tickets,Check timing between HR event and account disablement.,Lingering access after exit"
"IAM-04,Identity & Access,Access request approval,""Require approval before granting access."",Preventive,Both,Business Owner/IAM,Per Request,Access request records,Sample requests and confirm approval before enablement.,Excessive access"
"IAM-05,Identity & Access,Periodic access review,""Recertify access to systems and data on a schedule."",Detective,Operating Effectiveness,Business Owner/App Owner,Quarterly/Semiannual,Access review evidence,Verify reviews were completed and removals tracked.,Orphaned or excessive access"
"IAM-06,Identity & Access,Role-based access control,""Grant access based on business role and need."",Preventive,Both,IAM/Business Owner,Continuous,RBAC model or role matrix,Compare access assignments to role definitions.,Privilege creep"
"IAM-07,Identity & Access,Separation of duties,""Prevent conflicting access combinations."",Preventive,Both,Compliance/Security,Continuous,SoD matrix,Check for prohibited access combinations in samples.,Fraud or unauthorized changes"
"IAM-08,Identity & Access,External user governance,""Control guest, contractor, and vendor access."",Preventive,Both,IAM/Business Owner,Quarterly,Guest user review,Verify external users are approved and reviewed.,Unmanaged third-party access"
"IAM-09,Identity & Access,Account inactivity lockout,""Disable unused accounts after a defined period."",Corrective,Operating Effectiveness,IAM/Directory Services,Continuous,Directory policy settings,Validate inactivity thresholds and sample disabled accounts.,Stale account compromise"
"IAM-10,Identity & Access,Shared account restriction,""Prohibit shared accounts unless formally approved."",Preventive,Both,IAM/Security,Continuous,Exception records,Check shared accounts are approved, controlled, and logged.,Loss of accountability"
"IAM-11,Identity & Access,Joiner-mover-leaver process,""Manage identity changes through HR or IT workflow."",Preventive,Both,HR/IAM/IT Service Desk,Continuous,HR and IT workflow tickets,Sample joiner/mover/leaver cases and validate timely updates.,Incorrect or delayed access changes"
"IAM-12,Identity & Access,Directory synchronization control,""Govern identity sync between local and cloud directories."",Preventive,Operating Effectiveness,IAM/Directory Services,Continuous,Sync configuration and logs,Confirm sync scope and error handling are monitored.,Identity mismatch across platforms"
"IAM-13,Identity & Access,Access recertification for privileged users,""Review elevated access more frequently."",Detective,Operating Effectiveness,IAM/Security,Quarterly,Privileged access review records,Verify privileged accounts were independently reviewed.,Unchecked elevated access"
"IAM-14,Identity & Access,Service account ownership,""Assign and review business owners for service accounts."",Preventive,Both,Application Owner/IAM,Annual,Service account inventory,Confirm each service account has an owner and purpose.,Orphaned service accounts"
"IAM-15,Identity & Access,Identity lifecycle logging,""Log provisioning, changes, and removals for accountability."",Detective,Operating Effectiveness,IAM/Directory Services,Continuous,Audit logs and tickets,Check identity events are logged and retained.,Lack of traceability"
"AUTH-01,Authentication,Multi-factor authentication,""Require MFA for users and administrators."",Preventive,Both,IAM/Security,Continuous,MFA policy and conditional access logs,Sample users and verify MFA enforced for target groups.,Password-based compromise"
"AUTH-02,Authentication,Strong password standard,""Enforce password complexity and length requirements."",Preventive,Both,IAM/Directory Services,Continuous,Password policy settings,Validate minimum length and complexity settings.,Weak credentials"
"AUTH-03,Authentication,Password reuse restriction,""Prevent reuse of recent passwords."",Preventive,Both,IAM/Directory Services,Continuous,Password history settings,Confirm password history is enabled and configured.,Credential recycling"
"AUTH-04,Authentication,Conditional access enforcement,""Apply context-based access controls."",Preventive,Both,IAM/Security,Continuous,Conditional access policies,Check policies for device, location, and risk conditions.,Untrusted access"
"AUTH-05,Authentication,Legacy authentication block,""Disable legacy protocols that bypass MFA."",Preventive,Operating Effectiveness,IAM/Security,Continuous,Protocol settings and sign-in logs,Confirm legacy auth is blocked and no active usage remains.,MFA bypass risk"
"AUTH-06,Authentication,Session timeout control,""End idle sessions after a defined interval."",Preventive,Both,IAM/Security,Continuous,Session settings,Validate session timeout settings in target apps.,Unauthorized session hijack"
"AUTH-07,Authentication,Account lockout threshold,""Lock accounts after repeated failed attempts."",Preventive,Both,IAM/Directory Services,Continuous,Lockout policy settings,Test policy and verify alerting for repeated failures.,Brute-force attacks"
"AUTH-08,Authentication,Authentication event logging,""Log logons, failures, and MFA events."",Detective,Operating Effectiveness,SOC/IAM,Continuous,Authentication logs,Check logs are enabled and sent to SIEM.,Undetected login abuse"
"AUTH-09,Authentication,Federated authentication control,""Secure trust relationships with identity providers."",Preventive,Both,IAM/Security,Annual,Trust configuration and certificates,Review federation settings and trust validity.,IdP trust abuse"
"AUTH-10,Authentication,Device-based authentication trust,""Restrict access based on compliant or trusted devices."",Preventive,Both,IAM/Endpoint Security,Continuous,Conditional access device compliance policy,Confirm only compliant devices can access sensitive resources.,Access from unmanaged devices"
"Control ID,Domain,Control Name,Control Description,Control Type,Testing Methodology,Control Owner,Frequency,Evidence,Test Steps,Risk Addressed"
"PAM-01,Privileged Access,Separate admin accounts,""Use dedicated admin identities."",Preventive,Both,IAM/Security,Continuous,Admin account inventory,Sample admins and confirm separate privileged accounts exist.,Credential escalation from user accounts"
"PAM-02,Privileged Access,Just-in-time privilege,""Grant elevation only when needed."",Preventive,Operating Effectiveness,PAM/IAM,Continuous,PAM logs and role assignments,Verify privileges expire after approved elevation window.,Standing admin exposure"
"PAM-03,Privileged Access,Privileged access review,""Review privileged memberships regularly."",Detective,Operating Effectiveness,IAM/Security,Monthly/Quarterly,Privileged group review evidence,Sample groups and confirm owners reviewed membership.,Excess privileged users"
"PAM-04,Privileged Access,Privileged session logging,""Record administrative activity where feasible."",Detective,Operating Effectiveness,SOC/Server Ops,Continuous,Session logs or recording reports,Confirm admin sessions are captured for critical systems.,Undetected misuse"
"PAM-05,Privileged Access,Break-glass account control,""Secure emergency accounts with strong safeguards."",Preventive,Both,IAM/Security,Quarterly,Break-glass account checks,Verify accounts are protected, monitored, and tested.,Emergency access abuse"
"PAM-06,Privileged Access,Privileged workstation use,""Administer sensitive systems from hardened devices."",Preventive,Both,Endpoint/Security,Continuous,PAW/SAW compliance records,Verify admin access comes from approved workstations.,Credential theft from admin endpoints"
"PAM-07,Privileged Access,Privileged command approval,""Restrict high-risk administrative actions."",Preventive,Both,Change/PAM/Security,Per Action,Approval records or PAM controls,Check selected high-risk actions require approval.,Unauthorized sensitive changes"
"PAM-08,Privileged Access,Privileged credential vaulting,""Store admin credentials in a protected vault."",Preventive,Operating Effectiveness,IAM/Security,Continuous,Secret vault logs,Confirm privileged secrets are vaulted and access is logged.,Credential leakage"
"PAM-09,Privileged Access,Admin group monitoring,""Alert on changes to privileged groups."",Detective,Operating Effectiveness,SOC/IAM,Continuous,SIEM alerts and membership logs,Test alerting for group membership changes.,Silent privilege escalation"
"PAM-10,Privileged Access,Temporary elevation expiration,""Ensure elevation expires automatically."",Preventive,Operating Effectiveness,PAM/IAM,Continuous,PAM duration settings and logs,Sample elevated sessions and verify expiration occurred.,Persistent elevated access"
"END-01,Endpoint Security,Endpoint protection deployment,""Install and maintain endpoint protection on all endpoints."",Preventive,Operating Effectiveness,Endpoint/Security Operations,Continuous,EDR/AV deployment report,Verify endpoints are enrolled and protected.,Malware infection"
"END-02,Endpoint Security,EDR monitoring,""Detect and respond to malicious endpoint activity."",Detective,Operating Effectiveness,SOC/Endpoint Security,Continuous,EDR alert logs,Check alerts are generated, reviewed, and investigated.,Undetected endpoint compromise"
"END-03,Endpoint Security,Host firewall enforcement,""Require host-based firewall enabled."",Preventive,Both,Endpoint/IT Operations,Continuous,Firewall compliance report,Sample endpoints and confirm firewall is enabled.,Lateral movement"
"END-04,Endpoint Security,Disk encryption,""Encrypt portable and fixed endpoints."",Preventive,Both,Endpoint/IT Operations,Continuous,Encryption compliance report,Verify BitLocker or equivalent is enabled and escrowed.,Data loss from stolen devices"
"END-05,Endpoint Security,Local admin restriction,""Minimize local administrator usage."",Preventive,Both,Endpoint/IAM,Continuous,Local admin inventory,Check standard users are not local admins unless approved.,Privilege escalation"
"END-06,Endpoint Security,USB/device control,""Restrict removable media where required."",Preventive,Both,Endpoint/Security,Continuous,Device control policy and logs,Verify USB control rules are active and exceptions are documented.,Data exfiltration and malware spread"
